threshold,accuracy,precision,recall,specificity,f1,balanced_accuracy,youden_j,tp,tn,fp,fn
0.61,0.7575757575757576,0.875,0.5,0.9473684210526315,0.6363636363636364,0.7236842105263157,0.4473684210526314,7,18,1,7
0.62,0.7878787878787878,1.0,0.5,1.0,0.6666666666666666,0.75,0.5,7,19,0,7
0.63,0.7878787878787878,1.0,0.5,1.0,0.6666666666666666,0.75,0.5,7,19,0,7
0.64,0.7878787878787878,1.0,0.5,1.0,0.6666666666666666,0.75,0.5,7,19,0,7
0.65,0.7878787878787878,1.0,0.5,1.0,0.6666666666666666,0.75,0.5,7,19,0,7
0.66,0.7878787878787878,1.0,0.5,1.0,0.6666666666666666,0.75,0.5,7,19,0,7
0.67,0.7878787878787878,1.0,0.5,1.0,0.6666666666666666,0.75,0.5,7,19,0,7
0.68,0.7575757575757576,1.0,0.42857142857142855,1.0,0.6,0.7142857142857143,0.4285714285714286,6,19,0,8
0.69,0.7575757575757576,1.0,0.42857142857142855,1.0,0.6,0.7142857142857143,0.4285714285714286,6,19,0,8
0.7,0.7575757575757576,1.0,0.42857142857142855,1.0,0.6,0.7142857142857143,0.4285714285714286,6,19,0,8
0.71,0.7575757575757576,1.0,0.42857142857142855,1.0,0.6,0.7142857142857143,0.4285714285714286,6,19,0,8
0.72,0.7575757575757576,1.0,0.42857142857142855,1.0,0.6,0.7142857142857143,0.4285714285714286,6,19,0,8
0.73,0.7575757575757576,1.0,0.42857142857142855,1.0,0.6,0.7142857142857143,0.4285714285714286,6,19,0,8
0.74,0.7272727272727273,1.0,0.35714285714285715,1.0,0.5263157894736842,0.6785714285714286,0.3571428571428572,5,19,0,9
0.75,0.7272727272727273,1.0,0.35714285714285715,1.0,0.5263157894736842,0.6785714285714286,0.3571428571428572,5,19,0,9
0.76,0.6666666666666666,1.0,0.21428571428571427,1.0,0.35294117647058826,0.6071428571428571,0.2142857142857142,3,19,0,11
0.77,0.6666666666666666,1.0,0.21428571428571427,1.0,0.35294117647058826,0.6071428571428571,0.2142857142857142,3,19,0,11
0.78,0.6666666666666666,1.0,0.21428571428571427,1.0,0.35294117647058826,0.6071428571428571,0.2142857142857142,3,19,0,11
